model_name,problem_id,problem_section,problem_section_id,problem_difficulty,expected_answer,response_tokens,response_latency,answer_correct,solution_validity,error_type,completeness,clarity,brief_comment,_judge_model,_judge_input_tokens,_judge_output_tokens
Claude-Opus-4,DE-1,Дифференциальные уравнения,DE,3,"Доказательство через жорданову нормальную форму: A = PJP^{-1}, e^A = Pe^JP^{-1}, det(e^A) = det(e^J) = произведение e^{λ_i} = e^{Σλ_i} = e^{tr A}",1081,46.39,1,2,NONE,2,2,"Корректное доказательство с двумя подходами, хотя обоснование через непрерывность для общего случая могло быть более строгим.",anthropic/claude-sonnet-4,1746,105
Claude-Opus-4,DE-2,Дифференциальные уравнения,DE,3,x(t) = ∫_{-∞}^{t} e^{-(t-s)} f(s) ds. Единственность через оценку разности двух ограниченных решений.,1294,59.1,1,3,NONE,2,2,"Полное и безупречное решение с корректным выводом формулы, доказательством единственности и периодичности.",anthropic/claude-sonnet-4,1996,96
Claude-Opus-4,DE-3,Дифференциальные уравнения,DE,2,Через характеристическое уравнение системы,1447,62.07,1,3,NONE,2,0,Решение выполнено безупречно с правильным применением метода характеристического уравнения и корректным нахождением всех коэффициентов.,anthropic/claude-sonnet-4,2076,98
Claude-Opus-4,DE-4,Дифференциальные уравнения,DE,2,"Замена переменных, приведение к каноническому виду, интегрирование",1087,46.3,0,1,PE,2,1,"Подход с введением вспомогательной функции v частично корректен, но содержит процедурные ошибки в выводе и финальная форма решения не проверена подстановкой в исходное уравнение.",anthropic/claude-sonnet-4,1712,124
Claude-Opus-4,DE-5,Дифференциальные уравнения,DE,3,"u(x,y) = 2∫_x^{√y} ξu_1(ξ)dξ",1087,48.52,1,3,NONE,2,2,Полное и строгое решение с корректным выводом всех необходимых условий и формулы решения.,anthropic/claude-sonnet-4,1829,93
Claude-Opus-4,DE-6,Дифференциальные уравнения,DE,1,3y² − 2x³ = C,395,20.23,1,3,NONE,2,2,"Решение выполнено безупречно с правильным методом разделения переменных, корректными вычислениями и проверкой результата.",anthropic/claude-sonnet-4,980,102
Claude-Opus-4,DE-7,Дифференциальные уравнения,DE,1,y = (sin x + C)/x²,784,37.63,0,2,AE,2,2,"Метод решения правильный и хорошо изложен, но допущена арифметическая ошибка при интегрировании по частям, что привело к неверному финальному ответу.",anthropic/claude-sonnet-4,1369,116
Claude-Opus-4,DE-8,Дифференциальные уравнения,DE,1,sin(y/x) = Cx,487,22.51,1,3,NONE,2,2,Решение выполнено безупречно с правильным применением замены для однородного уравнения и корректным интегрированием.,anthropic/claude-sonnet-4,1071,99
Claude-Opus-4,DE-9,Дифференциальные уравнения,DE,1,x² + xy + y² = C,656,28.66,1,3,NONE,2,2,"Решение выполнено безупречно с правильной проверкой условия полного дифференциала, корректным нахождением функции F(x,y) и получением верного ответа.",anthropic/claude-sonnet-4,1253,115
Claude-Opus-4,DE-10,Дифференциальные уравнения,DE,2,yx(C − ln|x|) = 1; особое решение y = 0,574,27.54,1,3,NONE,1,2,"Решение методически безупречно и дает правильный ответ, но не указано особое решение y = 0.",anthropic/claude-sonnet-4,1169,94
Claude-Opus-4,DE-11,Дифференциальные уравнения,DE,2,y = C₁e^{2x} + C₂e^{3x},457,26.21,0,2,AE,2,2,"Метод решения правильный и изложен четко, но допущена арифметическая ошибка при вычислении корней характеристического уравнения.",anthropic/claude-sonnet-4,1052,106
Claude-Opus-4,DE-12,Дифференциальные уравнения,DE,2,y = e^{x²/2},456,24.16,1,3,NONE,2,2,"Безупречное решение с правильным методом разделения переменных, корректными вычислениями и проверкой результата.",anthropic/claude-sonnet-4,1040,98
Claude-Opus-4,DE-13,Дифференциальные уравнения,DE,3,"λ₁=1, λ₂=3. x = C₁eᵗ + C₂e³ᵗ, y = −C₁eᵗ + C₂e³ᵗ",1190,46.38,1,3,NONE,2,0,Решение выполнено безупречно с правильным применением матричного метода и получением корректного ответа.,anthropic/claude-sonnet-4,1833,86
Claude-Opus-4,DE-14,Дифференциальные уравнения,DE,3,y = (C₁ + C₂x)e^{−x} + (4/15)(x+1)^{5/2}e^{−x},1369,60.47,1,3,NONE,2,2,Решение выполнено безупречно с правильным применением метода вариации постоянных и точными вычислениями всех интегралов.,anthropic/claude-sonnet-4,2000,103
Claude-Opus-4,DE-15,Дифференциальные уравнения,DE,3,"D = 25 − 9 = 16 > 0, гиперболический тип. Характеристики: ξ = y−x, η = y−9x. Канонический вид: u_{ξη} = 0",847,36.49,1,3,NONE,2,2,"Решение полностью корректное, все шаги выполнены правильно, результат совпадает с эталоном.",anthropic/claude-sonnet-4,1503,96
Claude-Opus-4,DM-1,Дискретная математика и математическая логика,DM,1,"Не тавтология: F(1,1,0)=0. F = ¬x ∨ ¬y ∨ z",939,51.31,0,2,PE,1,2,"Таблица истинности построена правильно и правильно определено, что формула не тавтология, но не выполнено упрощение до ДНФ ¬x ∨ ¬y ∨ z.",anthropic/claude-sonnet-4,1612,123
Claude-Opus-4,DM-2,Дискретная математика и математическая логика,DM,1,|A∪B∪C| = 70+65+50−40−30−25+10 = 100,451,22.84,1,3,NONE,2,2,"Безупречное решение с правильным применением формулы включений-исключений, корректными вычислениями и логичной проверкой результата.",anthropic/claude-sonnet-4,1137,104
Claude-Opus-4,DM-3,Дискретная математика и математическая логика,DM,1,"Степени: d(1)=2, d(2)=3, d(3)=3, d(4)=3, d(5)=3, d(6)=2. Σd=16=2·8. Связный. 4 вершины нечётной степени → нет эйлерова пути.",917,41.38,1,3,NONE,2,2,"Решение полностью корректное, все пункты выполнены правильно с четкими объяснениями и правильными выводами.",anthropic/claude-sonnet-4,1675,100
Claude-Opus-4,DM-4,Дискретная математика и математическая логика,DM,1,"а) C(10,3)=120. б) (5−1)!=24. в) 10!/(3!·2!·1!·1!·1!·1!·1!) = 151200 (М×3, А×2, Т,Е,И,К по 1)",715,31.96,0,2,CE,2,2,"Решение методически правильное и хорошо оформленное, но содержит концептуальную ошибку в подсчёте букв слова МАТЕМАТИКА (указано А×3 вместо А×2, М×2 вместо М×3).",anthropic/claude-sonnet-4,1414,131
Claude-Opus-4,DM-5,Дискретная математика и математическая логика,DM,1,"f=1 при (0,0,0),(0,0,1),(0,1,0),(1,1,1). СДНФ: ¬x¬y¬z ∨ ¬x¬yz ∨ ¬xy¬z ∨ xyz. СКНФ: (x∨y∨¬z)(x∨¬y∨¬z)(¬x∨y∨z)(¬x∨¬y∨z)",919,36.65,0,1,AE,2,2,"Методика решения верная и изложение ясное, но допущены вычислительные ошибки в таблице истинности, что привело к неправильным СДНФ и СКНФ.",anthropic/claude-sonnet-4,1637,116
Claude-Opus-4,DM-6,Дискретная математика и математическая логика,DM,2,Отрицание: ∃ε>0 ∀δ>0 ∃x: |x−a|<δ ∧ |f(x)−L|≥ε. Исходное: определение предела. Отрицание: предел не равен L.,870,41.3,1,3,NONE,2,2,"Безупречное решение с пошаговым построением отрицания, правильным применением логических правил и исчерпывающими словесными интерпретациями.",anthropic/claude-sonnet-4,1577,109
Claude-Opus-4,DM-7,Дискретная математика и математическая логика,DM,2,"d(A)=0, d(B)=2, d(C)=3, d(D)=5, d(E)=6, d(F)=9",1163,44.12,1,3,NONE,2,2,Алгоритм Дейкстры выполнен безупречно с подробным пошаговым описанием и правильными финальными расстояниями.,anthropic/claude-sonnet-4,1892,107
